Motor_Frequency_Cmd_Hz;Timestamp;X_Axis_High_Frequency_RMS_Acceleration;X_Axis_RMS_Velocity;Z_Axis_High_Frequency_RMS_Acceleration;Z_Axis_RMS_Velocity
46,2;2020-10-16 08:30:00;0,615;0,61;0,385;0,432
46,2;2020-10-16 09:00:00;0,606;0,603;0,386;0,455
46,2;2020-10-16 09:30:00;0,59;0,578;0,376;0,521
46,2;2020-10-16 10:00:00;0,618;0,633;0,384;0,449
46,2;2020-10-16 10:30:00;0,605;0,588;0,381;0,467
46,2;2020-10-16 11:00:00;0,615;0,573;0,383;0,43
46,2;2020-10-16 11:30:00;0,645;0,578;0,394;0,462
46,2;2020-10-16 12:00:00;0,654;0,617;0,397;0,458
46,2;2020-10-16 12:30:00;0,641;0,583;0,386;0,435
46,2;2020-10-16 13:00:00;0,623;0,641;0,389;0,464
46,2;2020-10-16 13:30:00;0,616;0,618;0,373;0,477
46,2;2020-10-16 14:00:00;0,649;0,585;0,384;0,453
46,2;2020-10-16 14:30:00;0,618;0,606;0,375;0,5
46,2;2020-10-16 15:00:00;0,65;0,684;0,388;0,432
46,2;2020-10-16 15:30:00;0,668;0,6;0,385;0,481
46,2;2020-10-16 16:00:00;0,661;0,651;0,386;0,46
46,2;2020-10-16 16:30:00;0,651;0,666;0,392;0,407
46,2;2020-10-16 17:00:00;0,624;0,575;0,379;0,456
46,2;2020-10-16 17:30:00;0,621;0,612;0,38;0,468
46,2;2020-10-16 18:00:00;0,626;0,606;0,382;0,496
46,2;2020-10-16 18:30:00;0,623;0,603;0,382;0,453
46,2;2020-10-16 19:00:00;0,598;0,581;0,37;0,504
46,2;2020-10-16 19:30:00;0,572;0,61;0,35;0,518
46,2;2020-10-16 20:00:00;0,615;0,657;0,376;0,456
46,2;2020-10-16 20:30:00;0,615;0,564;0,374;0,424
46,2;2020-10-16 21:00:00;0,624;0,701;0,384;0,439
46,2;2020-10-16 21:30:00;0,639;0,548;0,381;0,465
46,2;2020-10-16 22:00:00;0,659;0,626;0,394;0,455
46,2;2020-10-16 22:30:00;0,618;0,64;0,374;0,497
46,2;2020-10-16 23:00:00;0,634;0,632;0,383;0,511
46,2;2020-10-16 23:30:00;0,636;0,571;0,385;0,47
46,2;2020-10-17 00:00:00;0,632;0,558;0,378;0,656
46,2;2020-10-17 00:30:00;0,628;0,573;0,376;0,548
46,2;2020-10-17 01:00:00;0,627;0,534;0,388;0,487
46,2;2020-10-17 01:30:00;0,626;0,56;0,386;0,497
46,2;2020-10-17 02:00:00;0,651;0,556;0,393;0,409
46,2;2020-10-17 02:30:00;0,616;0,618;0,381;0,457
46,2;2020-10-17 03:00:00;0,614;0,583;0,38;0,461
46,2;2020-10-17 03:30:00;0,629;0,556;0,387;0,409
46,2;2020-10-17 04:00:00;0,622;0,6;0,387;0,432
46,2;2020-10-17 04:30:00;0,63;0,656;0,385;0,416
46,2;2020-10-17 05:00:00;0,61;0,6;0,383;0,416
46,2;2020-10-17 05:30:00;0,608;0,71;0,379;0,461
46,2;2020-10-17 06:00:00;0,63;0,587;0,388;0,465
46,2;2020-10-17 06:30:00;0,599;0,657;0,377;0,397
46,2;2020-10-17 07:00:00;0,621;0,565;0,378;0,49
46,2;2020-10-17 07:30:00;0,636;0,607;0,391;0,449
46,2;2020-10-17 08:00:00;0,596;0,574;0,378;0,453
46,2;2020-10-17 08:30:00;0,594;0,623;0,376;0,483
46,2;2020-10-17 09:00:00;0,582;0,627;0,366;0,454
46,2;2020-10-17 09:30:00;0,602;0,627;0,377;0,439
46,2;2020-10-17 10:00:00;0,596;0,579;0,372;0,493
46,2;2020-10-17 10:30:00;0,61;0,647;0,372;0,512
46,2;2020-10-17 11:00:00;0,589;0,569;0,368;0,451
46,2;2020-10-17 11:30:00;0,61;0,584;0,359;0,465
46,2;2020-10-17 12:00:00;0,644;0,586;0,376;0,485
46,2;2020-10-17 12:30:00;0,66;0,626;0,385;0,46
46,2;2020-10-17 13:00:00;0,683;0,576;0,387;0,479
46,2;2020-10-17 13:30:00;0,668;0,621;0,383;0,401
44,4;2020-10-17 14:00:00;0,93;0,642;0,45;0,415
44,4;2020-10-17 14:30:00;0,906;0,685;0,449;0,431
44,4;2020-10-17 15:00:00;0,92;0,669;0,451;0,494
44,4;2020-10-17 15:30:00;0,902;0,561;0,444;0,42
44,4;2020-10-17 16:00:00;0,896;0,592;0,439;0,446
44,4;2020-10-17 16:30:00;0,874;0,596;0,432;0,501
44,4;2020-10-17 17:00:00;0,883;0,54;0,442;0,412
44,4;2020-10-17 17:30:00;0,871;0,643;0,439;0,463
44,4;2020-10-17 18:00:00;0,857;0,58;0,432;0,439
44,4;2020-10-17 18:30:00;0,87;0,565;0,436;0,404
44,4;2020-10-17 19:00:00;0,818;0,63;0,422;0,426
44,4;2020-10-17 19:30:00;0,848;0,57;0,431;0,442
44,4;2020-10-17 20:00:00;0,866;0,606;0,43;0,409
44,4;2020-10-17 20:30:00;0,87;0,581;0,434;0,446
44,4;2020-10-17 21:00:00;0,848;0,6;0,426;0,454
44,4;2020-10-17 21:30:00;0,839;0,67;0,418;0,487
44,4;2020-10-17 22:00:00;0,862;0,632;0,431;0,464
44,4;2020-10-17 22:30:00;0,854;0,566;0,432;0,475
44,4;2020-10-17 23:00:00;0,835;0,503;0,435;0,426
41,4;2020-10-17 23:30:00;1,171;0,723;0,552;0,495
41,4;2020-10-18 00:00:00;1,177;0,706;0,564;0,471
41,4;2020-10-18 00:30:00;1,155;0,722;0,545;0,497
41,4;2020-10-18 01:00:00;1,147;0,72;0,563;0,518
41,4;2020-10-18 01:30:00;1,129;0,643;0,553;0,507
41,4;2020-10-18 02:00:00;1,152;0,725;0,56;0,597
41,4;2020-10-18 02:30:00;1,094;0,688;0,541;0,462
41,4;2020-10-18 03:00:00;1,107;0,669;0,552;0,504
41,4;2020-10-18 03:30:00;1,115;0,584;0,549;0,493
41,4;2020-10-18 04:00:00;1,113;0,572;0,557;0,468
41,4;2020-10-18 04:30:00;1,1;0,747;0,55;0,483
41,4;2020-10-18 05:00:00;1,106;0,618;0,551;0,495
41,4;2020-10-18 05:30:00;1,091;0,613;0,546;0,511
41,4;2020-10-18 06:00:00;1,105;0,61;0,555;0,491
41,4;2020-10-18 06:30:00;1,109;0,617;0,554;0,496
41,4;2020-10-18 07:00:00;1,084;0,652;0,545;0,468
41,4;2020-10-18 07:30:00;1,094;0,66;0,544;0,432
41,4;2020-10-18 08:00:00;1,072;0,64;0,536;0,51
41,4;2020-10-18 08:30:00;1,081;0,691;0,539;0,438
41,4;2020-10-18 09:00:00;1,105;0,614;0,544;0,534
41,4;2020-10-18 09:30:00;1,082;0,612;0,536;0,468
41,4;2020-10-18 10:00:00;1,103;0,654;0,541;0,507
41,4;2020-10-18 10:30:00;1,118;0,608;0,535;0,481
41,4;2020-10-18 11:00:00;1,132;0,618;0,54;0,469
41,4;2020-10-18 11:30:00;1,143;0,69;0,542;0,546
41,4;2020-10-18 12:00:00;1,16;0,677;0,533;0,49
41,4;2020-10-18 12:30:00;1,197;0,72;0,539;0,511
41,4;2020-10-18 13:00:00;1,241;0,691;0,564;0,498
41,4;2020-10-18 13:30:00;1,281;0,665;0,564;0,485
41,4;2020-10-18 14:00:00;1,288;0,62;0,56;0,457
41,4;2020-10-18 14:30:00;1,288;0,636;0,549;0,525
41,4;2020-10-18 15:00:00;1,241;0,658;0,539;0,453
41,4;2020-10-18 15:30:00;1,314;0,621;0,568;0,444
41,4;2020-10-18 16:00:00;1,315;0,718;0,557;0,465
41,4;2020-10-18 16:30:00;1,305;0,689;0,554;0,487
41,4;2020-10-18 17:00:00;1,3;0,717;0,555;0,48
41,4;2020-10-18 17:30:00;1,273;0,679;0,547;0,539
41,4;2020-10-18 18:00:00;1,293;0,62;0,56;0,479
41,4;2020-10-18 18:30:00;1,222;0,707;0,518;0,529
38,4;2020-10-18 19:00:00;1,339;0,701;0,594;0,614
38,4;2020-10-18 19:30:00;1,272;0,691;0,588;0,605
38,4;2020-10-18 20:00:00;1,252;0,518;0,688;0,554
38,4;2020-10-18 20:30:00;1,265;0,619;0,626;0,505
38,4;2020-10-18 21:00:00;1,314;0,566;0,623;0,617
38,4;2020-10-18 21:30:00;1,301;0,587;0,609;0,59
38,4;2020-10-18 22:00:00;1,351;0,618;0,627;0,582
41;2020-10-19 20:00:00;0,706;0,594;0,542;0,683
41;2020-10-19 20:30:00;0,87;0,636;0,507;0,514
41;2020-10-19 21:00:00;0,895;0,621;0,47;0,439
47,8;2020-10-19 21:30:00;0,546;0,746;0,369;0,537
47,8;2020-10-19 22:00:00;0,541;0,724;0,362;0,573
47,8;2020-10-19 22:30:00;0,546;0,7;0,359;0,497
47,8;2020-10-19 23:00:00;0,537;0,741;0,354;0,483
47,8;2020-10-19 23:30:00;0,555;0,696;0,364;0,448
48,9;2020-10-20 00:00:00;0,617;0,65;0,37;0,488
48,9;2020-10-20 00:30:00;0,597;0,699;0,373;0,626
48,9;2020-10-20 01:00:00;0,594;0,643;0,373;0,441
48,9;2020-10-20 01:30:00;0,592;0,752;0,374;0,518
48,9;2020-10-20 02:00:00;0,587;0,674;0,375;0,465
48,9;2020-10-20 02:30:00;0,555;0,704;0,365;0,492
48,9;2020-10-20 03:00:00;0,577;0,625;0,363;0,451
48,9;2020-10-20 03:30:00;0,576;0,691;0,358;0,449
42,5;2020-10-20 04:00:00;1,073;0,768;0,438;0,467
42,5;2020-10-20 04:30:00;1,056;0,717;0,525;0,447
41,4;2020-10-20 05:00:00;1,088;0,531;0,536;0,467
48,1;2020-10-20 05:30:00;0,517;0,635;0,351;0,494
45,5;2020-10-20 06:00:00;0,649;0,576;0,392;0,463
45,5;2020-10-20 06:30:00;0,623;0,606;0,375;0,414
45,5;2020-10-20 07:00:00;0,645;0,594;0,376;0,442
45,5;2020-10-20 07:30:00;0,61;0,634;0,374;0,546
45,5;2020-10-20 08:00:00;0,637;0,598;0,38;0,463
45,5;2020-10-20 08:30:00;0,63;0,618;0,383;0,479
45,5;2020-10-20 09:00:00;0,631;0,636;0,379;0,493
45,5;2020-10-20 09:30:00;0,648;0,573;0,376;0,486
45,5;2020-10-20 10:00:00;0,652;0,6;0,38;0,443
45,5;2020-10-20 10:30:00;0,673;0,511;0,401;0,523
45,5;2020-10-20 11:00:00;0,656;0,549;0,385;0,469
45,5;2020-10-20 11:30:00;0,662;0,653;0,378;0,457
45,5;2020-10-20 12:00:00;0,679;0,561;0,385;0,489
45,5;2020-10-20 12:30:00;0,659;0,538;0,407;0,418
45,5;2020-10-20 13:00:00;0,666;0,575;0,387;0,505
45,5;2020-10-20 13:30:00;0,675;0,626;0,394;0,488
44,8;2020-10-20 14:00:00;0,772;0,627;0,422;0,414
39,5;2020-10-20 14:30:00;1,327;0,753;0,572;0,545
39,5;2020-10-20 15:00:00;1,316;0,681;0,574;0,546
39,5;2020-10-20 15:30:00;1,31;0,685;0,576;0,515
39,5;2020-10-20 16:00:00;1,29;0,651;0,576;0,536
41,4;2020-10-20 16:30:00;1,122;0,79;0,514;0,444
41,4;2020-10-20 17:00:00;1,121;0,758;0,51;0,443
41,4;2020-10-20 17:30:00;1,159;0,661;0,527;0,521
41,4;2020-10-20 18:00:00;1,179;0,754;0,531;0,579
41,4;2020-10-20 18:30:00;1,128;0,829;0,516;0,525
42,1;2020-10-20 19:00:00;1,035;0,738;0,48;0,512
39,1;2020-10-20 19:30:00;1,349;0,714;0,618;0,7
39,1;2020-10-20 20:00:00;1,353;0,532;0,616;0,457
39,1;2020-10-20 20:30:00;1,682;0,804;0,987;0,733
50;2020-10-21 16:30:00;1,36;1,324;1,181;4,676
50;2020-10-21 17:00:00;1,378;1,642;1,156;5,863
50;2020-10-21 17:30:00;1,363;1,176;1,167;4,654
41;2020-10-21 18:00:00;1,645;1,031;1,135;1,678
41;2020-10-21 18:30:00;1,585;1,038;1,087;1,772
41;2020-10-21 19:00:00;1,604;1,009;1,122;1,932
41;2020-10-21 19:30:00;1,526;1,279;1,088;4,272
41;2020-10-21 20:00:00;1,544;1,196;1,089;3,626
41;2020-10-21 20:30:00;1,569;1,154;1,071;1,671
41;2020-10-21 21:00:00;1,541;1,241;1,11;1,488
41;2020-10-21 21:30:00;1,507;1,211;1,098;2,306
41;2020-10-21 22:00:00;1,579;1,229;1,111;1,729
41;2020-10-21 22:30:00;1,531;1,365;1,092;1,591
41;2020-10-21 23:00:00;1,505;1,182;1,081;1,335
41;2020-10-21 23:30:00;1,489;1,314;1,061;2,323
41;2020-10-22 00:00:00;1,486;1,125;1,058;2,439
41;2020-10-22 00:30:00;1,471;1,069;1,111;1,371
41;2020-10-22 01:00:00;1,52;1,484;1,061;1,874
41;2020-10-22 01:30:00;1,517;1,572;1,091;2,836
41;2020-10-22 02:00:00;1,533;1,901;1,071;3,983
41;2020-10-22 02:30:00;1,557;1,344;1,106;1,888
41;2020-10-22 03:00:00;1,539;1,93;1,129;1,825
41;2020-10-22 03:30:00;1,516;1,728;1,04;1,951
41;2020-10-22 04:00:00;1,478;1,792;1,053;2,11
41;2020-10-22 04:30:00;1,49;2,241;1,045;1,901
41;2020-10-22 05:00:00;1,466;1,731;1,083;2,144
41;2020-10-22 05:30:00;1,437;1,784;1,042;1,176
41;2020-10-22 06:00:00;1,444;1,632;1,077;1,687
41;2020-10-22 06:30:00;1,422;2,493;1,057;3,082
41;2020-10-22 07:00:00;1,401;2,158;1,039;1,839
41;2020-10-22 07:30:00;1,396;2,545;1,036;1,384
41;2020-10-22 08:00:00;1,356;1,643;1,042;1,959
41;2020-10-22 08:30:00;1,41;2,09;1,04;1,467
41;2020-10-22 09:00:00;1,394;2,081;1,038;2,415
42,5;2020-10-22 09:30:00;1,43;2,307;1,049;2,471
42,5;2020-10-22 10:00:00;1,431;1,751;1,014;3,758
42,5;2020-10-22 10:30:00;1,482;1,188;1,001;1,51
41,8;2020-10-22 11:00:00;1,448;1,468;1,047;2,028
41,8;2020-10-22 11:30:00;1,385;1,404;0,993;2,504
41,8;2020-10-22 12:00:00;1,367;1,45;1,022;2,519
41,8;2020-10-22 12:30:00;1,404;1,071;1,027;2,038
41;2020-10-22 13:00:00;1,417;1,044;0,987;2,371
41;2020-10-22 13:30:00;1,455;1,06;1,035;3,13
41;2020-10-22 14:00:00;1,438;1,302;1,036;2,448
41;2020-10-22 14:30:00;1,466;1,307;1,053;3,624
41;2020-10-22 15:00:00;1,48;1,207;1,038;2,41
41;2020-10-22 15:30:00;1,48;1,134;1,047;2,754
41;2020-10-22 16:00:00;1,44;0,998;1,03;2,196
41;2020-10-22 16:30:00;1,479;1,253;1,033;3,156
41;2020-10-22 17:00:00;1,496;1,17;1,06;2,15
41;2020-10-22 17:30:00;1,502;1,078;1,06;1,815
41;2020-10-22 18:00:00;1,531;1,057;1,066;1,676
41;2020-10-22 18:30:00;1,479;1,258;1,048;2,777
41;2020-10-22 19:00:00;1,485;1,38;1,076;4,821
41;2020-10-22 19:30:00;1,531;0,975;1,082;1,528
41;2020-10-22 20:00:00;1,518;1,145;1,047;1,124
41;2020-10-22 20:30:00;1,579;1,132;1,06;1,97
41,8;2020-10-22 21:00:00;1,471;1,057;1,064;1,681
41,8;2020-10-22 21:30:00;1,462;1,223;1,094;1,425
41,8;2020-10-22 22:00:00;1,422;1,142;1,064;1,475
41,8;2020-10-22 22:30:00;1,493;1,361;1,076;2,185
41,8;2020-10-22 23:00:00;1,439;1,602;1,077;2,008
41,8;2020-10-22 23:30:00;1,489;1,257;1,092;1,989
41,8;2020-10-23 00:00:00;1,494;1,137;1,067;1,737
41,8;2020-10-23 00:30:00;1,428;1,658;1,021;3,44
41,8;2020-10-23 01:00:00;1,456;1,436;1,092;2,266
41,8;2020-10-23 01:30:00;1,457;1,291;1,079;1,982
41,8;2020-10-23 02:00:00;1,468;1,557;1,065;3,574
41,8;2020-10-23 02:30:00;1,434;1,203;1,05;1,687
41,8;2020-10-23 03:00:00;1,428;1,129;1,051;3,313
41,8;2020-10-23 03:30:00;1,451;1,092;1,054;2,823
41,8;2020-10-23 04:00:00;1,465;1,348;1,081;2,173
41,8;2020-10-23 04:30:00;1,425;1,076;1,055;2,242
41,8;2020-10-23 05:00:00;1,465;1,094;1,095;2,951
41,8;2020-10-23 05:30:00;1,471;1,723;1,099;2,944
41,8;2020-10-23 06:00:00;1,487;1,113;1,067;2,078
41,8;2020-10-23 06:30:00;1,486;1,392;1,056;2,297
41,8;2020-10-23 07:00:00;1,432;0,968;1,066;2,386
41,8;2020-10-23 07:30:00;1,448;1,175;1,052;3,737
41,8;2020-10-23 08:00:00;1,485;1,262;1,058;1,757
41,8;2020-10-23 08:30:00;1,462;1,254;1,079;1,588
41,8;2020-10-23 09:00:00;1,426;1,207;1,073;2,726
41,8;2020-10-23 09:30:00;1,506;1,485;1,07;2,152
41,8;2020-10-23 10:00:00;1,456;1,377;1,062;2,214
41,8;2020-10-23 10:30:00;1,457;1,299;1,044;1,603
41,8;2020-10-23 11:00:00;1,467;1,178;1,067;2,141
41,8;2020-10-23 11:30:00;1,46;1,283;1,096;1,577
41,8;2020-10-23 12:00:00;1,433;1,079;1,02;1,465
41,8;2020-10-23 12:30:00;1,453;1,423;1,081;2,084
40,2;2020-10-23 13:00:00;1,456;0,996;1,023;1,51
40,2;2020-10-23 13:30:00;1,531;1,082;1,069;1,762
40,2;2020-10-23 14:00:00;1,484;1,004;1,046;1,289
38,8;2020-10-23 14:30:00;1,529;0,748;1,071;1,408
38,8;2020-10-23 15:00:00;1,558;0,856;1,074;1,245
38,8;2020-10-23 15:30:00;1,534;0,768;1,03;1,638
38,8;2020-10-23 16:00:00;1,572;1,098;1,072;1,352
38,8;2020-10-23 16:30:00;1,553;1,033;1,024;1,277
38,8;2020-10-23 17:00:00;1,527;1,043;1,062;1,811
38,8;2020-10-23 17:30:00;1,554;0,861;1,063;1,771
38,8;2020-10-23 18:00:00;1,532;1,204;1,051;1,704
38,8;2020-10-23 18:30:00;1,539;0,88;1,056;2,129
38,8;2020-10-23 19:00:00;1,528;0,928;1,052;1,506
38,8;2020-10-23 19:30:00;1,558;1,004;1,032;1,421
38,8;2020-10-23 20:00:00;1,549;1,034;1,038;1,418
38,8;2020-10-23 20:30:00;1,545;1,272;1,05;1,737
41;2020-10-23 21:00:00;1,452;1,033;1,011;1,716
41;2020-10-23 21:30:00;1,507;1,164;1,054;2,105
41;2020-10-23 22:00:00;1,532;1,221;1,012;1,953
41;2020-10-23 22:30:00;1,5;1,177;1,018;1,173
41;2020-10-23 23:00:00;1,46;1,109;1,037;1,537
41;2020-10-23 23:30:00;1,504;0,973;1,058;1,941
41;2020-10-24 00:00:00;1,498;1,212;1,064;1,694
41;2020-10-24 00:30:00;1,524;1,044;1,051;1,66
41;2020-10-24 01:00:00;1,462;1,009;1,024;1,774
41;2020-10-24 01:30:00;1,453;1,049;1,057;2,319
41;2020-10-24 02:00:00;1,497;1,019;1,04;2,029
41;2020-10-24 02:30:00;1,479;0,97;1,032;1,304
41;2020-10-24 03:00:00;1,521;1,049;1,049;1,458
41;2020-10-24 03:30:00;1,454;1,001;1,057;2,423
41;2020-10-24 04:00:00;1,543;1,237;1,102;2,185
41;2020-10-24 04:30:00;1,503;1,861;1,078;2,724
41;2020-10-24 05:00:00;1,524;1,316;1,075;2,376
41;2020-10-24 05:30:00;1,492;1,056;1,067;1,164
41;2020-10-24 06:00:00;1,517;1,544;1,018;2,478
41;2020-10-24 06:30:00;1,467;1,27;1,047;1,946
41;2020-10-24 07:00:00;1,479;1,18;1,016;4,074
41;2020-10-24 07:30:00;1,52;0,956;1,026;1,835
41;2020-10-24 08:00:00;1,481;1,329;1,037;4,59
41;2020-10-24 08:30:00;1,474;0,922;1,075;1,39
41;2020-10-24 09:00:00;1,503;1,236;1,043;2,232
41;2020-10-24 09:30:00;1,533;1,679;1,043;2,71
41;2020-10-24 10:00:00;1,453;0,802;1,032;1,299
41;2020-10-24 10:30:00;1,453;1,109;1,05;1,624
41;2020-10-24 11:00:00;1,467;1,08;1,027;2,84
41;2020-10-24 11:30:00;1,474;1,119;1,037;1,796
41;2020-10-24 12:00:00;1,494;1,154;1,034;2,379
41;2020-10-24 12:30:00;1,488;1,184;1,046;2,407
41;2020-10-24 13:00:00;1,557;1,081;1,06;2,078
41;2020-10-24 13:30:00;1,5;0,879;1,072;3,11
41;2020-10-24 14:00:00;1,542;0,805;1,032;2,59
41;2020-10-24 14:30:00;1,564;1,068;1,055;1,649
41;2020-10-24 15:00:00;1,587;0,934;1,062;2,253
41;2020-10-24 15:30:00;1,52;1,183;1,079;1,584
41;2020-10-24 16:00:00;1,528;0,966;1,062;2,22
41;2020-10-24 16:30:00;1,535;0,929;1,05;1,666
41;2020-10-24 17:00:00;1,557;1,004;1,055;3,69
41;2020-10-24 17:30:00;1,514;0,965;1,061;2,589
41;2020-10-24 18:00:00;1,491;0,882;1,046;2,636
41;2020-10-24 18:30:00;1,502;0,95;1,067;2,062
41;2020-10-24 19:00:00;1,534;1,035;1,042;2,158
41;2020-10-24 19:30:00;1,534;1,076;1,034;2,417
41;2020-10-24 20:00:00;1,534;1,14;1,077;2,415
41;2020-10-24 20:30:00;1,519;1,337;1,038;2,6
41;2020-10-24 21:00:00;1,542;0,949;1,065;1,514
41;2020-10-24 21:30:00;1,514;0,833;1,032;2,182
41;2020-10-24 22:00:00;1,478;1,132;1,053;1,898
41;2020-10-24 22:30:00;1,506;0,95;1,034;1,616
41;2020-10-24 23:00:00;1,506;1,024;1,055;2,7
41;2020-10-24 23:30:00;1,487;0,961;1,036;1,576
41;2020-10-25 00:00:00;1,535;1,12;1,066;2,619
41;2020-10-25 00:30:00;1,475;0,994;1,07;2,181
41;2020-10-25 01:00:00;1,516;1,149;1,034;2,085
41;2020-10-25 01:30:00;1,469;1,284;1,008;2,468
41;2020-10-25 02:00:00;1,456;1,399;1,013;2,178
41;2020-10-25 02:00:00;1,456;1,399;1,013;2,178
41;2020-10-25 02:00:00;1,478;1,525;1,024;1,893
41;2020-10-25 02:00:00;1,478;1,525;1,024;1,893
41;2020-10-25 02:30:00;1,468;1,182;1,032;2,466
41;2020-10-25 02:30:00;1,468;1,182;1,032;2,466
41;2020-10-25 02:30:00;1,493;1,07;1,014;2
41;2020-10-25 02:30:00;1,493;1,07;1,014;2
41;2020-10-25 03:00:00;1,482;1,199;1,03;2,713
41;2020-10-25 03:30:00;1,456;1,236;1,031;1,941
41;2020-10-25 04:00:00;1,497;1,423;1,017;1,509
41;2020-10-25 04:30:00;1,474;1,241;1,014;1,794
41;2020-10-25 05:00:00;1,473;1,259;1,027;2,172
41;2020-10-25 05:30:00;1,451;1,149;1,034;1,855
41;2020-10-25 06:00:00;1,505;1,315;1,055;2,067
41;2020-10-25 06:30:00;1,459;1,349;1,043;1,934
41;2020-10-25 07:00:00;1,469;1,699;1,037;2,657
41;2020-10-25 07:30:00;1,439;1,48;1,004;2,428
41;2020-10-25 08:00:00;1,479;1,607;1,052;2,206
41;2020-10-25 08:30:00;1,485;1,124;1,062;1,965
41;2020-10-25 09:00:00;1,46;1,303;1,06;2,636
41;2020-10-25 09:30:00;1,499;1,284;1,043;2,459
41;2020-10-25 10:00:00;1,48;1,04;1,078;2,454
41;2020-10-25 10:30:00;1,495;0,937;1,028;1,829
41;2020-10-25 11:00:00;1,555;1,092;1,066;1,826
41;2020-10-25 11:30:00;1,537;0,97;1,056;1,643
41;2020-10-25 12:00:00;1,53;0,989;1,047;2,963
41;2020-10-25 12:30:00;1,539;1,045;1,063;2,969
41;2020-10-25 13:00:00;1,545;1,004;1,062;2,227
41;2020-10-25 13:30:00;1,492;0,83;1,06;2,444
41;2020-10-25 14:00:00;1,478;0,88;1,057;1,144
41;2020-10-25 14:30:00;1,465;1,1;1,027;1,594
41;2020-10-25 15:00:00;1,51;1,146;1,04;1,139
41;2020-10-25 15:30:00;1,54;0,916;1,055;2,537
41;2020-10-25 16:00:00;1,558;1,002;1,036;1,234
41;2020-10-25 16:30:00;1,496;1,023;1,031;1,88
41;2020-10-25 17:00:00;1,526;1,07;1,044;2,229
41;2020-10-25 17:30:00;1,526;0,978;1,067;2,709
41;2020-10-25 18:00:00;1,555;1,033;1,043;1,493
41;2020-10-25 18:30:00;1,5;1,053;1,03;2,346
41;2020-10-25 19:00:00;1,52;1,02;1,041;2,671
41;2020-10-25 19:30:00;1,518;1,078;1,054;4,465
41;2020-10-25 20:00:00;1,531;1,108;1,077;1,451
26,6;2020-10-25 21:00:00;0,721;0,528;0,621;0,735
41,8;2020-10-25 21:30:00;1,38;0,923;1,015;2,181
41,8;2020-10-25 22:00:00;1,413;1,03;1,053;1,867
41,8;2020-10-25 22:30:00;1,481;1,453;1,043;1,394
41,8;2020-10-25 23:00:00;1,47;1,149;1,053;3,016
41,8;2020-10-25 23:30:00;1,479;1,397;1,08;2,128
41,8;2020-10-26 00:00:00;1,472;1,29;1,075;2,597
41,8;2020-10-26 00:30:00;1,533;1,382;1,051;4,46
41,8;2020-10-26 01:00:00;1,522;1,081;1,072;4,033
41,8;2020-10-26 01:30:00;1,49;1,16;1,078;2,893
41,8;2020-10-26 02:00:00;1,477;1,132;1,077;2,414
41,8;2020-10-26 02:30:00;1,524;1,313;1,047;2,52
41,8;2020-10-26 03:00:00;1,523;1,284;1,07;2,503
41,8;2020-10-26 03:30:00;1,483;1,084;1,046;2,043
41,8;2020-10-26 04:00:00;1,499;1,186;1,077;1,744
41,8;2020-10-26 04:30:00;1,512;1,002;1,084;2,645
41,8;2020-10-26 05:00:00;1,512;1,47;1,074;2,292
41,8;2020-10-26 05:30:00;1,551;1,173;1,083;1,377
41,8;2020-10-26 06:00:00;1,49;1,196;1,076;2,062
41,8;2020-10-26 06:30:00;1,482;1,419;1,072;3,177
41,8;2020-10-26 07:00:00;1,443;1,044;1,062;1,763
41,8;2020-10-26 07:30:00;1,451;1,592;1,039;2,855
41,8;2020-10-26 08:00:00;1,433;1,151;1,041;1,425
41,8;2020-10-26 08:30:00;1,47;1,373;1,045;2,058
41,8;2020-10-26 09:00:00;1,437;1,287;1,037;2,01
41,8;2020-10-26 09:30:00;1,443;1,112;1,072;1,636
41,8;2020-10-26 10:00:00;1,438;1,011;1,056;1,528
41,8;2020-10-26 10:30:00;1,425;1,091;1,072;2,567
41,8;2020-10-26 11:00:00;1,423;1,136;1,044;2,258
41,8;2020-10-26 11:30:00;1,516;1,021;1,058;2,873
41,8;2020-10-26 12:00:00;1,501;0,985;1,05;1,898
41,8;2020-10-26 12:30:00;1,483;1,051;1,049;2,52
41,8;2020-10-26 13:00:00;1,51;1,386;1,045;2,238
41,8;2020-10-26 13:30:00;1,508;1,343;1,067;2,702
41,8;2020-10-26 14:00:00;1,51;1,312;1,076;2,147
41,8;2020-10-26 14:30:00;1,465;1,105;1,068;2,021
41,8;2020-10-26 15:00:00;1,473;1,321;1,069;2,946
41,8;2020-10-26 15:30:00;1,507;1,147;1,099;3,145
41,8;2020-10-26 16:00:00;1,454;0,947;1,056;2,393
41,8;2020-10-26 16:30:00;1,505;1,113;1,061;1,741
41,8;2020-10-26 17:00:00;1,426;1,141;1,057;2,131
41,8;2020-10-26 17:30:00;1,478;1,07;1,092;1,646
41,8;2020-10-26 18:00:00;1,44;1,233;1,054;2,274
41,8;2020-10-26 18:30:00;1,52;1,145;1,083;1,94
41,8;2020-10-26 19:00:00;1,45;1,085;1,049;2,541
41,8;2020-10-26 19:30:00;1,458;1,296;1,065;1,394
39,5;2020-10-26 20:00:00;1,525;0,872;1,032;1,642
39,5;2020-10-26 20:30:00;1,572;0,898;1,048;2,046
39,5;2020-10-26 21:00:00;1,479;1,028;1,009;3,192
41,4;2020-10-28 01:00:00;1,099;4,08;0,98;1,014
