Motor_Frequency_Cmd_Hz;X_Axis_High_Freq_RMS_Acc_G;Z_Axis_High_Freq_RMS_Acc_G;X_Axis_RMS_Velocity_mm_sec;Z_Axis_RMS_Velocity_mm_sec;time_local
0;0,01;0,01;0,16;0,16;2021-07-11 08:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 09:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 09:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 10:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 10:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 11:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 11:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 12:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 12:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 13:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 13:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 14:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 14:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 15:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 15:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 16:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 16:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 17:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 17:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 18:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 18:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 19:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 19:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 20:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 20:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 21:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 21:31:00
0;0,01;0,01;0,16;0,16;2021-07-11 22:01:00
0;0,01;0,01;0,16;0,16;2021-07-11 22:31:00
